Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-128O064H-LPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;Yes;-;-;-;-;37914;Datasheet/displays/OLED-128O064H-LPP3N00000\OLED-128O064H-LPP3N00000.pdf;None
OLED-128O064H-SPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;-;-;Yes;-;37915;Datasheet/displays/OLED-128O064H-SPP3N00000\OLED-128O064H-SPP3N00000.pdf;None
OLED-128O064H-WPP3N00000;graphic;128 x 64 dots;60.50 x 37.00 x 2.15;57.01 x 28.91;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309ZC;-;-;-;-;Yes;37916;Datasheet/displays/OLED-128O064H-WPP3N00000\OLED-128O064H-WPP3N00000.pdf;None
OLED-128O064J-GPP3N00000;graphic;128 x 64 dots;75.0 x 52.7 x 8.5;57.01 x 29.49;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309Z;-;Yes;-;-;-;37917;Datasheet/displays/OLED-128O064J-GPP3N00000\OLED-128O064J-GPP3N00000.pdf;None
OLED-128O064J-LPP3N00000;graphic;128 x 64 dots;75.0 x 52.7 x 8.5;57.01 x 29.49;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309Z;Yes;-;-;-;-;37918;Datasheet/displays/OLED-128O064J-LPP3N00000\OLED-128O064J-LPP3N00000.pdf;None
OLED-128O064J-SPP3N00000;graphic;128 x 64 dots;75.0 x 52.7 x 8.5;57.01 x 29.49;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309Z;-;-;-;Yes;-;37919;Datasheet/displays/OLED-128O064J-SPP3N00000\OLED-128O064J-SPP3N00000.pdf;None
OLED-128O064J-WPP3N00000;graphic;128 x 64 dots;75.0 x 52.7 x 8.5;57.01 x 29.49;-;0.40 x 0.40;0.43 x 0.43;1/64;SSD1309Z;-;-;-;-;Yes;37920;Datasheet/displays/OLED-128O064J-WPP3N00000\OLED-128O064J-WPP3N00000.pdf;None
OLED-200H016A;Graphic;200 x 16 dots;182.0 x 38.5 x 9.3 (max.);154.4 x 16.50;-;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37713;Datasheet/displays/OLED-200H016A\OLED-200H016A.pdf;None
OLED-200H016A-GPP5N00000;graphic;200 x 16 dots;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;-;0.57 x 0.65;0.62 x 0.70;1/16;SSD1305;-;Yes;-;-;-;37955;Datasheet/displays/OLED-200H016A-GPP5N00000\OLED-200H016A-GPP5N00000.pdf;None
OLED-200H016A-LPP5N00000;graphic;200 x 16 dots;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;-;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37956;Datasheet/displays/OLED-200H016A-LPP5N00000\OLED-200H016A-LPP5N00000.pdf;None
OLED-256Y064A-BPP3N00000;graphic;256 x 64 dots;84.0 x 25.8 x 2.05;71.104 x 19.264;-;0.248 x 0.248;0.27 x 0.27;1/64;SSD1322;-;-;-;Yes;-;37957;Datasheet/displays/OLED-256Y064A-BPP3N00000\OLED-256Y064A-BPP3N00000.pdf;None
OLED-256Y064A-GPP3N00000;graphic;256 x 64 dots;84.0 x 25.8 x 2.05;71.104 x 19.264;-;0.248 x 0.248;0.27 x 0.27;1/64;SSD1322;-;Yes;-;-;-;37958;Datasheet/displays/OLED-256Y064A-GPP3N00000\OLED-256Y064A-GPP3N00000.pdf;None
OLED-256Y064A-LPP3N00000;graphic;256 x 64 dots;84.0 x 25.8 x 2.05;71.104 x 19.264;-;0.248 x 0.248;0.270 x 0.270;1/64;SSD1322;Yes;-;-;-;-;37959;Datasheet/displays/OLED-256Y064A-LPP3N00000\OLED-256Y064A-LPP3N00000.pdf;None
OLED-256Y064A-RPP3N00000;graphic;256 x 64 dots;84.0 x 25.8 x 2.05;71.104 x 19.264;-;0.248 x 0.248;0.27 x 0.27;1/64;SSD1322;-;-;Yes;-;-;37960;Datasheet/displays/OLED-256Y064A-RPP3N00000\OLED-256Y064A-RPP3N00000.pdf;None
OLED-256Y064B-GPP3N00000;graphic;256 x 64 dots;88.0 x 27.8 x 2.05;78.78 x 21.18;-;0.278 x 0.278;0.3 x 0.3;1/64;SSD1322;-;Yes;-;-;-;37961;Datasheet/displays/OLED-256Y064B-GPP3N00000\OLED-256Y064B-GPP3N00000.pdf;None
OLED-256Y064B-LPP3N00000;graphic;256 x 64 dots;88.0 x 27.8 x 2.05;78.78 x 21.18;-;0.278 x 0.278;0.300 x 0.300;1/64;SSD1322;Yes;-;-;-;-;37962;Datasheet/displays/OLED-256Y064B-LPP3N00000\OLED-256Y064B-LPP3N00000.pdf;None
OLED-256Y064B-SPP3N00000;graphic;256 x 64 dots;88.0 x 27.8 x 2.05;78.78 x 21.18;-;0.278 x 0.278;0.3 x 0.3;1/64;SSD1322;-;-;-;Yes;-;37963;Datasheet/displays/OLED-256Y064B-SPP3N00000\OLED-256Y064B-SPP3N00000.pdf;None
OLED-256Y064B-WPP3N00000;graphic;256 x 64 dots;88.0 x 27.8 x 2.05;78.78 x 21.18;-;0.278 x 0.278;0.3 x 0.3;1/64;SSD1322;-;Yes;-;-;-;37964;Datasheet/displays/OLED-256Y064B-WPP3N00000\OLED-256Y064B-WPP3N00000.pdf;None
OLED-256Y064D-GPP3N00000;graphic;256 x 64 dots;146.0 x 45.0 x 2.05;137.65 x 35.89;-;0.5 x 0.5;0.53 x 0.53;1/64;SSD1322;-;Yes;-;-;-;37965;Datasheet/displays/OLED-256Y064D-GPP3N00000\OLED-256Y064D-GPP3N00000.pdf;None
OLED-256Y064D-LPP3N00000;graphic;256 x 64 dots;146.0 x 45.0 x 2.05;137.65 x 35.89;-;0.50 x 0.50;0.53 x 0.53;1/64;SSD1322;Yes;-;-;-;-;37966;Datasheet/displays/OLED-256Y064D-LPP3N00000\OLED-256Y064D-LPP3N00000.pdf;None
